date,news
2008-10-31,"Megjelenik Satoshi Nakamoto Bitcoin whitepaperje, amely egy bankoktól független, peer-to-peer elektronikus pénzrendszert vázol fel, és elindítja a későbbi Bitcoin-ökoszisztéma szellemi alapjait."
2009-01-03,"Elindul a Bitcoin hálózat: Satoshi kibányássza a genesis blokkot, amely a 'Chancellor on brink of second bailout for banks' újságcímre utal, erős narratívát adva az új, infláció ellen védett pénz koncepciójának."
2010-05-22,"Lebonyolódik a híres 'pizzatranzakció': 10 000 BTC-ért két pizzát vesznek, ami az első dokumentált reálgazdasági Bitcoin-vásárlás, és visszamenőleg mérföldkő az árfolyam történetében."
2011-06-01,"A Mt.Gox tőzsdén súlyos biztonsági incidens és flash crash történik, a BTC árfolyama rövid időre gyakorlatilag nullára zuhan, majd visszapattan; ez ráirányítja a figyelmet a tőzsdekockázatokra és a volatilitásra."
2012-11-28,"Lezajlik az első Bitcoin-halving: a blokkjutalom 50 BTC-ről 25 BTC-re csökken, ami tartósan mérsékli az új kínálatot, és hosszabb távon bikapiaci narratívát épít az eszköz köré."
2013-01-01,"Az év elején erősödik a médiafigyelem és a befektetői érdeklődés a Bitcoin iránt, az árfolyam 13 USD körüli szintről indul és fokozatosan emelkedni kezd, miközben egyre több új tőzsde és pénztárcaszolgáltató jelenik meg."
2013-02-01,"Februárban nő a kereskedési forgalom és a spekuláció, a növekvő likviditás és az euróövezeti adósságválsággal kapcsolatos aggodalmak erősítik a Bitcoin 'digitális menedék' narratíváját."
2013-03-01,"A ciprusi bankválság és a betétbefagyasztások hírei felerősítik a bizalmatlanságot a hagyományos bankrendszerrel szemben; a Bitcoin iránt ugrásszerű érdeklődés jelenik meg, sokan alternatív értéktárolóként tekintenek rá."
2013-04-01,"Áprilisban az első nagy Bitcoin-buborék alakul ki: az ár néhány hét alatt 266 USD fölé szárnyal, majd hirtelen összeomlik 50–100 USD közé, ami megmutatja a piac extrém volatilitását és a spekulatív tőkebeáramlást."
2013-05-01,"A piac a tavaszi összeomlás után konszolidálódik, a szabályozók világszerte vizsgálni kezdik a kriptotőzsdék jogi státuszát, miközben nő a kisbefektetői és technológiai közösségi érdeklődés."
2013-06-01,"Az amerikai hatóságok pénzmosás-ellenes szabályok alá kezdik sorolni a kriptotőzsdéket, egyes szolgáltatók számláit befagyasztják; a hírek rövid távú bizonytalanságot, de hosszabb távon intézményesedést jeleznek."
2013-07-01,"A nyár folyamán újabb kereskedési platformok indulnak, illetve több nagyobb kereskedő (pl. online szolgáltatók) kísérletezni kezd a Bitcoin elfogadásával, ami támogatja az 'elfogadottság növekszik' narratívát."
2013-08-01,"Android-os Bitcoin-pénztárcáknál feltárt kriptográfiai hiba és néhány kisebb hack rámutat a technikai kockázatokra, ugyanakkor gyors javítások érkeznek, erősítve az open-source fejlesztői közösség szerepét."
2013-09-01,"Németország 'magánpénzként' ismeri el a Bitcoint adózási szempontból, miközben a kereskedési forgalom tovább nő; a szabályozói elismerés vegyes, de legitimáló hatású sok befektető számára."
2013-10-02,"Az FBI lekapcsolja a Silk Road darknet piacteret és lefoglal egy nagy mennyiségű Bitcoint; a hír azonnali árfolyam-sokkot okoz, de a piac viszonylag gyorsan stabilizálódik, jelezve a növekvő ellenálló képességet."
